Estacion,Longitud,Latitud,Dpto,Fecha,Precipitación (mm)
Cuchilla Redonda - Comisaria,-59.1,-33.08333333,Gualeguachú,28/04/2020,0
Escriña - Destacamento,-58.9,-32.58333333,Gualeguachú,28/04/2020,0
Estación Gilbert - Comisaria,-58.93333333,-32.53333333,Gualeguachú,28/04/2020,40
Faustino M. Parera - Destacamento,-58.88333333,-32.8,Gualeguachú,28/04/2020,35
Gral. Almada - Comisaria,-58.80522222,-32.83741667,Gualeguachú,28/04/2020,38
Irazusta - Subcomisaria,-58.95,-32.93333333,Gualeguachú,28/04/2020,20
Pehuajo Sur - Subcomisaria,-58.86666667,-33.06666667,Gualeguachú,28/04/2020,23
Perdices - Comisaria,-58.71027778,-33.29805556,Gualeguachú,28/04/2020,0
Rincon del Gato - Comisaria,-58.56666667,-32.86666667,Gualeguachú,28/04/2020,0
Talitas - Subcomisaria,-59.18333333,-33.06666667,Gualeguachú,28/04/2020,23
Bazo Largo - Puesto Caminero,-59.15875,-33.74272222,Islas del Ibicuy,28/04/2020,98
Mazaruca - Destacamento,-59.27486111,-33.61005556,Islas del Ibicuy,28/04/2020,99
Villa Paranacito - Prefectura,-58.65618021,-33.71592333,Islas del Ibicuy,28/04/2020,98
Villa Paranacito - Prefectura,-58.65583333,-32.71583333,Islas del Ibicuy,28/04/2020,100
Alcaraz Sur - Destacamento,-59.83333333,-31.37055556,La Paz,28/04/2020,7
Bovril - Comisaria Nº 16,-59.45,-31.33333333,La Paz,28/04/2020,10
Colonia Avigdor,-59.40055556,-31.18444444,La Paz,28/04/2020,26
Colonia Oficial Nº 3,-59.41388889,-30.55694444,La Paz,28/04/2020,0
El Carmen - Yeso Oeste,-59.37944444,-30.85722222,La Paz,28/04/2020,0
El Quebracho - Destacamento Santa Elena,-59.66666667,-30.98333333,La Paz,28/04/2020,0
Estecas - Destacamento,-59.26888889,-30.58388889,La Paz,28/04/2020,5
La Lila - Particular,-59.50277778,-31.10583333,La Paz,28/04/2020,0
La Paz - Subprefectura,-59.65,-30.75,La Paz,28/04/2020,5
Paso Telegrafo - Puesto Caminero,-59.5125,-30.35555556,La Paz,28/04/2020,0
San Gustavo - Comisaria,-59.38722222,-30.69111111,La Paz,28/04/2020,8
Santa Elena - Prefectura,-59.78333333,-30.95,La Paz,28/04/2020,11
Tacuara Ombu - Comisaria Nº 24,-59.2475,-30.47722222,La Paz,28/04/2020,6
Tacuara Yacare - Comisaria Nº 23,-59.51166667,-30.73333333,La Paz,28/04/2020,5
20 de Septiembre - Comisaria Nº 17,-59.83333333,-32.38333333,Nogoyá,28/04/2020,26
Algarrobito - Comisaria Nº 1,-59.63333333,-32.21666667,Nogoyá,28/04/2020,32
Aranguren - Comisaria,-60.16666667,-32.25,Nogoyá,28/04/2020,22
Betbeder - Comisaria,-59.93333333,-32.36666667,Nogoyá,28/04/2020,35
Crucesita 3ª - Comisaria,-59.7,-32.11666667,Nogoyá,28/04/2020,20
Crucesita 7ª - Escuela Nº 87,-59.65,-32.05,Nogoyá,28/04/2020,21
Crucesita 8ª - Comisaria Nº 27,-59.63333333,-32.03333333,Nogoyá,28/04/2020,9
Don Cristobal 2ª,-59.96666667,-32.1,Nogoyá,28/04/2020,30
El Pueblito - Comisaria Nº 20,-59.81666667,-32.16666667,Nogoyá,28/04/2020,20
Febre - Comisaria Nº 19,-59.91666667,-32.46666667,Nogoyá,28/04/2020,38
La Llave - Comisaria,-59.55,-32.53333333,Nogoyá,28/04/2020,56
Sección Urquiza Comisaria Nº 28,-59.71666667,-32.03333333,Nogoyá,28/04/2020,10
Arroyo Maria (Nidia Faez),-59.81666667,-31.71666667,Paraná,28/04/2020,0
Cerrito - Gdor. Racedo,-60.07555556,-31.57916667,Paraná,28/04/2020,15
Curtiembre Destacamento,-60.16683333,-31.46372222,Paraná,28/04/2020,7
Eigenfeld - Particular,-60.23141667,-31.88647222,Paraná,28/04/2020,0
Espinillo - Subcomisaria,-60.2705,-31.81191667,Paraná,28/04/2020,0
Hernandarias - Comisaria,-59.98333333,-31.21666667,Paraná,28/04/2020,17
Paraná - DPH,-60.5308368,-31.7219679,Paraná,28/04/2020,34
Pueblo Bellocq - Estación Las Garzas,-59.74433333,-31.42805556,Paraná,28/04/2020,0
Pueblo Brugo - Comisaria,-60.1,-31.36666667,Paraná,28/04/2020,12
Segui - Comisaria,-60.12669444,-31.95813889,Paraná,28/04/2020,12
Tabossi - Municipalidad,-59.93552778,-31.80069444,Paraná,28/04/2020,20
Viale - Comisaria,-60.01233333,-31.8715,Paraná,28/04/2020,35
Villa Urquiza - Comisaria,-60.36666667,-31.63333333,Paraná,28/04/2020,28
San Salvador - Comisaria,-58.5,-31.63333333,San Salvador,28/04/2020,0
Durazno - Comisaria,-59.26666667,-31.98333333,Rosario del Tala,28/04/2020,0
Gdor Echagüe - Comisaria,-59.26666667,-32.4,Rosario del Tala,28/04/2020,0
Gdor Mansilla - Comisaria,-59.38333333,-32.55,Rosario del Tala,28/04/2020,0
Gdor. Macia - Comisaria,-59.41666667,-32.18333333,Rosario del Tala,28/04/2020,0
Rosario del Tala - OSM,-59.31666667,-32.35,Rosario del Tala,28/04/2020,0
Basavilbaso - Comisaria,-58.86666667,-32.36666667,C del Uruguay,28/04/2020,35
Estación Herrera - Comisaria,-58.63333333,-32.46666667,C del Uruguay,28/04/2020,46
Las Moscas - Subcomisaria,-58.96666667,-32.1,C del Uruguay,28/04/2020,58
Libaros - Subcomisaria,-58.9,-32.26666667,C del Uruguay,28/04/2020,65
Pronunciamiento - Comisaria,-58.43333333,-32.35,C del Uruguay,28/04/2020,55
Santa Anita - Comisaria,-58.78333333,-32.18333333,C del Uruguay,28/04/2020,50
Villa Mantero - Comisaria,-58.75,-32.26666667,C del Uruguay,28/04/2020,44
Antelo (Sara de Muzzio),-60.06666667,-32.5,Victoria,28/04/2020,42
Hinojal - Comisaria Nº 23,-60.16666667,-32.36666667,Victoria,28/04/2020,44
Laguna del Pescado - Comisaria,-60.08333333,-32.65,Victoria,28/04/2020,30
Montoya - Comisaria Nº 20,-59.86666667,-32.21666667,Victoria,28/04/2020,34
Rincon del Nogoya - Comisaria Nº 17,-59.9,-32.76666667,Victoria,28/04/2020,68
Ingeniero Sajaroff - Subcomisaria,-58.86666667,-32.96666667,Villaguay,28/04/2020,23
Lucas Norte - Subcomisaria,-58.94611111,-31.38388889,Villaguay,28/04/2020,87
Lucas Sur I - Subcomisaria,-59.04722222,-31.66555556,Villaguay,28/04/2020,5
Mojones Norte - Comisaria Nº 22,-59.2,-31.46027778,Villaguay,28/04/2020,36
Mojones Sur I - Comisaria Nº 27,-59.25166667,-31.62916667,Villaguay,28/04/2020,19
Paso de La Laguna - Raices Oeste,-59.16666667,-31.8,Villaguay,28/04/2020,0
Raices Oeste - Comisaria Nº 29,-59.45,-31.83333333,Villaguay,28/04/2020,11
Villa Clara - Comisaria,-58.82333333,-31.82777778,Villaguay,28/04/2020,26
Villa Dominguez - Comisaria,-58.96666667,-31.98333333,Villaguay,28/04/2020,46
